Year,Grand Prix,Track Length (m),Max Speed (km/h),Full Throttle (%),Number of Corners,Number of Straights,
2023,Azerbaijan Grand Prix,1.0064835067711178,0.7094786464299769,0.17272573387787057,1.2689421673103425,1.7633551890519035,
2023,Miami Grand Prix,0.2485114817869751,1.3095864926435474,-0.424693191,1.7835905385724318,-0.037810735,
2023,Monaco Grand Prix,-2.269305685,-2.591114508,-2.058831969,2.298238909834521,0.8627722270020034,
2023,Spanish Grand Prix,-0.601976374,0.40942472332319163,0.7799763604839383,-1.304299689,-0.938393697,
2023,Canadian Grand Prix,-0.971389593,1.3845999734202437,-1.51885829,0.23964542478616382,0.41248074597705336,
2023,Austrian Grand Prix,-1.017404671,0.034357319,0.6485918945143434,-0.789651318,-0.938393697,
2023,British Grand Prix,0.8451918879619578,0.259397762,0.7182894101540248,-0.275002946,-0.488102216,
2023,Hungarian Grand Prix,-0.95902044,-1.015831411,-0.547546261,-0.789651318,0.41248074597705336,
2023,Belgian Grand Prix,2.2257015135374436,1.0845460503134585,0.3976128777044657,-0.275002946,-0.037810735,
2023,Dutch Grand Prix,-1.09373586,0.10937080021640638,-0.488764696,-0.789651318,-0.037810735,
2023,Italian Grand Prix,0.7806050012822962,1.909694338857118,1.3806617739295743,-0.789651318,-1.388685178,
2023,Singapore Grand Prix,-0.297166109,-0.715777488,-1.193754525,0.7542937960482531,2.2136466700768533,
2023,Japanese Grand Prix,0.7946577387359246,0.7844921272066733,0.44904870709338873,0.23964542478616382,-0.938393697,
2023,Qatar Grand Prix,0.30356023075739486,-0.190683123,-0.043005124,-0.789651318,-0.938393697,
2023,United States Grand Prix,0.3797113287330596,0.1843842809931027,-0.704501697,1.2689421673103425,0.8627722270020034,
2023,Mexico City Grand Prix,-1.071799388,1.9847078196338144,-1.47287925,0.7542937960482531,0.41248074597705336,
2023,São Paulo Grand Prix,-1.07937578,0.33441124254649535,-0.566594539,-0.789651318,-0.488102216,
2023,Las Vegas Grand Prix,1.2420033847069332,1.6096404157503328,0.6909849098928675,1.2689421673103425,-0.037810735,
